"","Province_State","Date","Confirmed","Deaths","confirmed_changes","death_changes"
"384","American Samoa",2020-01-29,0,0,0,0
"385","American Samoa",2020-01-30,0,0,0,0
"386","American Samoa",2020-01-31,0,0,0,0
"387","American Samoa",2020-02-01,0,0,0,0
"388","American Samoa",2020-02-02,0,0,0,0
"389","American Samoa",2020-02-03,0,0,0,0
"390","American Samoa",2020-02-04,0,0,0,0
"391","American Samoa",2020-02-05,0,0,0,0
"392","American Samoa",2020-02-06,0,0,0,0
"393","American Samoa",2020-02-07,0,0,0,0
"394","American Samoa",2020-02-08,0,0,0,0
"395","American Samoa",2020-02-09,0,0,0,0
"396","American Samoa",2020-02-10,0,0,0,0
"397","American Samoa",2020-02-11,0,0,0,0
"398","American Samoa",2020-02-12,0,0,0,0
"399","American Samoa",2020-02-13,0,0,0,0
"400","American Samoa",2020-02-14,0,0,0,0
"401","American Samoa",2020-02-15,0,0,0,0
"402","American Samoa",2020-02-16,0,0,0,0
"403","American Samoa",2020-02-17,0,0,0,0
"404","American Samoa",2020-02-18,0,0,0,0
"405","American Samoa",2020-02-19,0,0,0,0
"406","American Samoa",2020-02-20,0,0,0,0
"407","American Samoa",2020-02-21,0,0,0,0
"408","American Samoa",2020-02-22,0,0,0,0
"409","American Samoa",2020-02-23,0,0,0,0
"410","American Samoa",2020-02-24,0,0,0,0
"411","American Samoa",2020-02-25,0,0,0,0
"412","American Samoa",2020-02-26,0,0,0,0
"413","American Samoa",2020-02-27,0,0,0,0
"414","American Samoa",2020-02-28,0,0,0,0
"415","American Samoa",2020-02-29,0,0,0,0
"416","American Samoa",2020-03-01,0,0,0,0
"417","American Samoa",2020-03-02,0,0,0,0
"418","American Samoa",2020-03-03,0,0,0,0
"419","American Samoa",2020-03-04,0,0,0,0
"420","American Samoa",2020-03-05,0,0,0,0
"421","American Samoa",2020-03-06,0,0,0,0
"422","American Samoa",2020-03-07,0,0,0,0
"423","American Samoa",2020-03-08,0,0,0,0
"424","American Samoa",2020-03-09,0,0,0,0
"425","American Samoa",2020-03-10,0,0,0,0
"426","American Samoa",2020-03-11,0,0,0,0
"427","American Samoa",2020-03-12,0,0,0,0
"428","American Samoa",2020-03-13,0,0,0,0
"429","American Samoa",2020-03-14,0,0,0,0
"430","American Samoa",2020-03-15,0,0,0,0
"431","American Samoa",2020-03-16,0,0,0,0
"432","American Samoa",2020-03-17,0,0,0,0
"433","American Samoa",2020-03-18,0,0,0,0
"434","American Samoa",2020-03-19,0,0,0,0
"435","American Samoa",2020-03-20,0,0,0,0
"436","American Samoa",2020-03-21,0,0,0,0
"437","American Samoa",2020-03-22,0,0,0,0
"438","American Samoa",2020-03-23,0,0,0,0
"439","American Samoa",2020-03-24,0,0,0,0
"440","American Samoa",2020-03-25,0,0,0,0
"441","American Samoa",2020-03-26,0,0,0,0
"442","American Samoa",2020-03-27,0,0,0,0
"443","American Samoa",2020-03-28,0,0,0,0
"444","American Samoa",2020-03-29,0,0,0,0
"445","American Samoa",2020-03-30,0,0,0,0
"446","American Samoa",2020-03-31,0,0,0,0
"447","American Samoa",2020-04-01,0,0,0,0
"448","American Samoa",2020-04-02,0,0,0,0
"449","American Samoa",2020-04-03,0,0,0,0
"450","American Samoa",2020-04-04,0,0,0,0
"451","American Samoa",2020-04-05,0,0,0,0
"452","American Samoa",2020-04-06,0,0,0,0
"453","American Samoa",2020-04-07,0,0,0,0
"454","American Samoa",2020-04-08,0,0,0,0
"455","American Samoa",2020-04-09,0,0,0,0
"456","American Samoa",2020-04-10,0,0,0,0
"457","American Samoa",2020-04-11,0,0,0,0
"458","American Samoa",2020-04-12,0,0,0,0
"459","American Samoa",2020-04-13,0,0,0,0
"460","American Samoa",2020-04-14,0,0,0,0
"461","American Samoa",2020-04-15,0,0,0,0
"462","American Samoa",2020-04-16,0,0,0,0
"463","American Samoa",2020-04-17,0,0,0,0
"464","American Samoa",2020-04-18,0,0,0,0
"465","American Samoa",2020-04-19,0,0,0,0
"466","American Samoa",2020-04-20,0,0,0,0
"467","American Samoa",2020-04-21,0,0,0,0
